"tail","tarsus","hoof","horns","ear","head","withers","length","Weight_corr","TestWeight_corr","perifatmass","kmass","kidneyindexcorreg","day","month","groupMonth","year","season","habitat","habitatidx1","habitatidx2","northSouth","sex","classage1","pregnant","sexgroup","sexualstate","weight","lengthtotail","testLength","pesotes","kidneyindex","logkfi","raizkfi","method","embryoLength","embryoWeight"
6,13,2,"0.8","4.5","10.3","26.5","39.5","1.54",0,"0.3","5.6","5.4",21,2,"Jan-Feb (Dry1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Yong","NA","NA","NA","1.54","45.5","0.7",0,"5.4","0.8","2.3","Trap",0,0
7,"15.5","2.4","3.5","4.5","13.2","31.5",50,"2.22","5.5","0.4","8.3","4.8",22,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","2.22",57,"3.2","5.5","4.8","0.8","2.2","Gun",0,0
8,"12.2","2.2","3.5","4.6","13.1",33,53,"3.11",0,4,8,50,22,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.11",61,"NA","NA",50,"1.7","7.1","Gun",0,0
"7.9",15,"2.2","4.9","4.4","12.6","31.9",53,"3.09",6,0,"10.4",0,24,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.09","60.9","2.7",6,0,0,0,"Gun",0,0
"7.3",15,2,"3.2","4.7","12.6","30.9",51,"3.39",0,"1.4","10.2","13.7",24,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.39","58.3","NA","NA","13.7","1.2","3.7","Gun",0,0
6,14,"2.3","3.8","4.5","11.5",29,47,"2.99","4.3","0.8",8,10,24,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","2.99",53,"2.8","4.3",10,1,"3.2","Gun",0,0
8,"15.5","2.2","3.9","4.9","13.5",33,56,"3.47","7.1","1.3","11.4","11.4",24,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.47",64,"2.7","7.1","11.4","1.1","3.4","Gun",0,0
"8.6","13.3","2.3","3.3","4.5","13.2","29.8","54.5","3.04",0,0,"10.6",0,24,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","lactating","Lact / Lact+embryo","NA","NA","NA","NA","NA","NA","NA","Trap",0,0
"8.3","16.9","2.4","3.7","4.9","12.8","34.4","56.4","3.44",0,0,"10.9",0,25,2,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"NA","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","3.65","64.7","NA","NA",0,0,0,"Trap","16.7","174.1"
7,"14.2","2.4","3.8","4.6","13.1","31.2",50,"3.31","7.5",1,9,"11.1",25,2,"Jan-Feb (Dry1)",2014,"Dry","NA",99,99,"NA","Macho","Adult/subadult","NA","Male (adult)","NA","3.31",57,"2.7","7.5","11.1","1.1","3.3","Trap",0,0
"7.4","14.1","2.1","4.5","4.7",12,"29.9","47.9","2.53","4.5","1.6","8.7","18.4",26,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","2.53","55.3",3,"4.5","18.4","1.3","4.3","Trap",0,0
"9.9","16.1","2.5",4,"5.4","13.8","32.1","54.9","3.69","7.8","3.3","8.3","39.8",26,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.69","64.8","3.6","7.8","39.8","1.6","6.3","Trap",0,0
"9.1","15.9","2.8","3.6","4.7","12.4","31.4","54.2","3.6",0,0,"10.5",0,26,2,"Jan-Feb (Dry1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","lactating","Lact / Lact+embryo","3.6","63.3","NA","NA",0,0,0,"Trap",0,0
"10.4","16.2","2.6","3.9","4.9",13,"31.7","55.6","2.88",0,"0.2","9.9",2,1,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.88",66,"NA","NA",2,"0.5","1.4","Trap",0,0
"7.4","14.7",2,"3.7","4.7","12.9","31.4","48.8",3,"7.1","1.2",10,12,3,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA",3,"56.2","3.1","7.1",12,"1.1","3.5","Trap",0,0
"7.4","15.4","2.6","3.3","4.5","13.1","32.1","56.2","3.6",0,0,15,0,3,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","lactating","Lact / Lact+embryo","3.6","63.6","NA","NA",0,0,0,"Trap",0,0
"6.7","15.3","2.4","4.5","4.6","12.8","33.7","52.2","2.99","6.3","0.1","9.5","1.1",3,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","2.99","58.9","3.1","6.3","1.1","0.3",1,"Trap",0,0
"7.4","15.9","2.4","3.4","4.6",13,"31.7","55.2","3.57",0,0,"8.9",0,3,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","lactating","Lact / Lact+embryo","3.57","62.6","NA","NA",0,0,0,"Trap",0,0
"6.8","14.9","2.4",2,"4.8","11.7","31.4",49,"2.5",0,"0.8","8.3","9.6",3,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Yong","No preñada (lac o inact)","NA","NA","2.5","55.8","NA","NA","9.6",1,"3.1","Trap",0,0
7,"15.7","2.2","4.5","4.3","13.3",33,"53.3","3.07","6.1","3.3","7.6","45.9",4,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.07","60.3","2.2","6.1","NA","NA","NA","Trap",0,0
"7.3","15.7","2.4","4.3","5.2","13.3","31.4","55.4","3.78","4.8","1.9","9.4","19.6",5,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.78","62.7","3.3","NA","NA","NA","NA","Trap",0,0
8,15,"2.1",3,"4.6",13,"23.5",58,"3.73",0,0,"11.7",0,6,3,"Mar-Apr (Wet1)",2014,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.73",66,"NA","NA",0,0,0,"Trap",0,0
7,16,"2.2","3.7","4.9","13.6",33,56,"3.41","6.2",0,"6.5",0,8,3,"Mar-Apr (Wet1)",2014,"Dry","NA",99,99,"NA","Macho","Adult/subadult","NA","Male (adult)","NA","3.41",63,"2.6","6.2",0,0,0,"Trap",0,0
"7.3",15,"2.1","3.6","4.4","12.6",31,49,"2.28",0,"3.3","4.7","70.2",8,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Yong","No preñada (lac o inact)","NA","NA","2.28","56.3","NA","NA","70.2","1.9","8.4","Trap",0,0
"9.7","15.3","2.4","3.1","4.1","12.5","32.2","51.1","3.15",0,0,"8.9",0,13,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","3.15","60.8","NA","NA",0,0,0,"Trap",0,0
8,15,"2.4","3.9","4.5","12.5","30.2","56.3","3.28","5.3",0,"10.2",0,13,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.28","64.3","2.9","5.3",0,0,0,"Trap",0,0
9,"15.3","2.4","3.5","4.9","13.1",33,58,"4.41",0,"2.7","9.5","28.4",15,3,"Mar-Apr (Wet1)",2014,"Dry","NA",99,99,"NA","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","4.48",67,"NA","NA","28.4","1.5","5.3","Gun","5.6","6.4"
9,"15.4","2.2","3.1","4.5","12.9","31.5",54,"3.78",0,"7.4",9,"82.2",15,3,"Mar-Apr (Wet1)",2014,"Dry","NA",99,99,"NA","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.78",63,"NA","NA","82.2","1.9","9.1","Gun",0,0
"8.9","13.3","2.3","3.4","4.7",13,"32.5",55,"3.78",0,0,"12.5",0,19,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","3.78","63.9","NA","NA",0,0,0,"Trap","1.7","0.3"
"6.7","15.5","2.4","2.5","4.8","13.1","34.5",55,"3.18",0,0,"8.2",0,19,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.18","NA","NA","NA",0,0,0,"Trap",0,0
"7.3","15.5","2.2","4.1","4.6","13.3","35.5",54,"3.66","5.6","1.8","10.7","16.8",22,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.66","61.3","2.7","5.6","16.8","1.3","4.1","Trap",0,0
"6.9","15.1","2.2","3.6","4.5","13.6","23.9",60,"3.33",0,"0.8","7.8","10.3",24,3,"Mar-Apr (Wet1)",2014,"Dry","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.33","66.9","NA","NA","10.3","1.1","3.2","Gun",0,0
"7.3","15.9","2.3","4.6","4.7",13,"32.2","54.6","3.52","4.7","4.3","9.3","46.2",24,3,"Mar-Apr (Wet1)",2014,"Dry","NA",99,99,"South","Macho","Adult/subadult","NA","Male (adult)","NA","3.52","61.9","2.9","4.7","46.2","1.7","6.8","Trap",0,0
6,"13.2","2.2","1.9","4.2","11.1","24.3",45,"2.06",0,"0.2","6.3","3.2",24,3,"Mar-Apr (Wet1)",2014,"Dry","NA",99,99,"South","Macho","Yong","NA","NA","NA","2.06",51,"0.6",0,"3.2","0.6","1.8","Gun",0,0
7,14,2,"1.6","4.5","10.9","26.6",50,"2.33","0.2","1.5","5.6","21.7",24,3,"Mar-Apr (Wet1)",2014,"Dry","NA",99,99,"South","Macho","Yong","NA","NA","NA","2.33",57,1,"0.2","NA","NA","NA","Gun",0,0
8,"16.9","2.4","3.3","4.3","13.6","33.1","54.5","3.86",0,0,"12.1",0,26,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","4.46","62.5","NA","NA",0,0,0,"Trap","22.3","416.6"
"8.5","15.1","3.3","4.4","4.7","12.8",31,54,"3.55","4.3",0,"9.5",0,26,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.55","62.5","2.6","4.3",0,0,0,"Trap",0,0
7,"15.3","2.3","3.5","4.7","13.5",31,55,"2.85",0,0,"8.5",0,26,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.85",62,"NA","NA",0,0,0,"Trap",0,0
8,"15.3","2.5","4.3","4.4","13.5","29.5",48,"3.66","4.3",0,"10.6",0,26,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.66",56,"2.5","4.3",0,0,0,"Trap",0,0
7,14,"2.1","3.5","4.7","12.5",23,"53.5","2.65","2.3","0.4","7.8","5.1",28,3,"Mar-Apr (Wet1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","NA","Male (adult)","NA","2.65","60.5",2,"2.3","5.1","0.8","2.3","Trap",0,0
7,"15.2","2.3","3.9",4,"13.8","32.5",57,"3.8",0,"4.1","12.2","33.6",28,3,"Mar-Apr (Wet1)",2014,"Dry","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","4.12",64,"NA","NA","33.6","1.5","5.8","Trap","16.3",201
"7.7","15.2","2.3",4,"4.7","11.8","30.8","50.8","2.86",0,"1.4","5.7","24.6",29,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.86","58.5","NA","NA","24.6","1.4",5,"Trap",0,0
"8.5","15.6","2.3","5.2","4.5","12.4","32.3","50.5","3.02","5.2",0,"8.2",0,29,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.02",59,"2.4","5.2",0,0,0,"Trap",0,0
"6.2",14,"1.8",0,"3.9","10.1",25,"40.9","1.57",0,"0.4","6.4","6.3",29,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Macho","Yong","No preñada (lac o inact)","NA","NA","1.57","47.1",0,0,"6.3","0.9","2.5","Trap",0,0
8,14,"1.5","1.3",4,"11.4","28.8","50.9","2.52",0,"0.6","6.8","8.8",29,3,"Mar-Apr (Wet1)",2014,"Dry","Plv. Montaña 800-1800",1,0,"North","Hembra","Yong","No preñada (lac o inact)","NA","NA","2.52","58.9","NA","NA","8.8",1,3,"Trap",0,0
"7.5","15.4","2.3","2.6","4.9","12.6","34.1","59.4","4.13",0,0,"13.2",0,31,3,"Mar-Apr (Wet1)",2014,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","Preñada","inactive or pregnant (embryo)","Inactive / Embryo","4.17","66.9","NA","NA",0,0,0,"Trap","6.5","9.3"
6,"15.9","2.1","3.4","5.1","13.1","31.2",56,"3.7",0,0,"10.8",0,31,3,"Mar-Apr (Wet1)",2014,"Dry","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","Preñada","pregnant (foetuse)","Feto/ Feto+lact","4.02",62,"NA","NA",0,0,0,"Trap","18.2","280.9"
"7.5","15.2",2,"4.6","3.7","12.5","33.3","52.5","2.94","5.5",0,"9.6",0,1,4,"Mar-Apr (Wet1)",2014,"Wet","Pluv. baja alt 0-800",0,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","2.94",60,"2.7","5.5",0,0,0,"Trap",0,0
"7.5","15.5","2.3","2.9","4.7","13.7","36.2","55.5","3.46",0,"3.1","8.3","37.3",2,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.46",63,"NA","NA","37.3","1.6","6.1","Trap",0,0
"7.3","15.5","2.6","2.9","4.7",13,32,"56.3","3.32","6.1",0,"10.2",0,2,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.32","63.6",3,"6.1",0,0,0,"Trap",0,0
"6.9","13.9","2.2","1.8",4,"11.2","25.5","46.9","2.3","0.1","0.3","5.5","5.5",2,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Yong","NA","NA","NA","2.3","53.8","0.9","0.1","5.5","0.8","2.3","Gun",0,0
"9.1",17,"3.4","4.2","4.7","13.3","35.9","56.5","3.94","7.8","1.3","11.7","11.1",3,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.94","65.6","2.9","7.8","11.1","1.1","3.3","Trap",0,0
"8.5",18,"2.1","3.5","4.7","12.2","37.3","55.2","2.87",0,"0.8","8.1","9.9",3,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.87","63.7","NA","NA","9.9",1,"3.1","Trap",0,0
"8.5","15.9",2,"3.6","4.4",14,34,"58.2","3.91",0,"1.7","10.8","15.7",3,4,"Mar-Apr (Wet1)",2014,"Wet","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","Preñada","lactating","Lact / Lact+embryo","3.91","66.7","NA","NA","15.7","1.2",4,"Trap","0.9","0.1"
6,14,2,"0.9","4.2","10.3","28.9","43.9","1.67",0,0,8,0,3,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Yong","No preñada (lac o inact)","NA","NA","1.67","NA","0.6","NA","NA","NA","NA","Trap",0,0
"9.2","16.3","2.3","4.7","5.1","13.4","31.1","54.9","3.53","5.9","1.5","9.4",16,3,4,"Mar-Apr (Wet1)",2014,"Wet","Pluv. baja alt 0-800",0,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.53","64.1","3.4","5.9",16,"1.2",4,"Trap",0,0
6,14,"1.6","0.7","4.6","10.7",33,"42.2","1.74",0,"1.3","4.8","27.1",4,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Hembra","Yong","No preñada (lac o inact)","NA","NA","1.74","48.2","NA","NA","27.1","1.4","5.2","Gun",0,0
7,"15.3","2.2","4.1","4.9","12.6","31.7","56.3","3.31","5.1","3.4",11,"30.9",5,4,"Mar-Apr (Wet1)",2014,"Wet","Pluv. baja alt 0-800",0,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.31","63.3","2.8","5.1","30.9","1.5","5.6","Trap",0,0
7,"13.9","1.7","1.1","4.8","10.9",23,"47.3","2.05",0,0,6,0,5,4,"Mar-Apr (Wet1)",2014,"Wet","Pluv. baja alt 0-800",0,0,"North","Hembra","Yong","No preñada (lac o inact)","NA","NA","2.05","54.3","NA","NA",0,0,0,"Trap",0,0
7,"15.3","2.2","4.2","4.6","12.9",31,"54.5","3.94","4.5","0.9","7.6","11.8",7,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.94","61.5","2.9","4.5","11.8","1.1","3.4","Gun",0,0
8,"15.9","2.2","3.3","4.3","13.1","30.9","56.3","3.4","7.1",2,"9.8","20.4",7,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.4","64.3","3.2","7.1","20.4","1.3","4.5","Gun",0,0
"8.3",15,"2.3","4.1","4.4","13.3","30.2","55.5","3.7","4.6","3.4",11,"30.9",7,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.7","63.8","2.6","4.6","30.9","1.5","5.6","Gun",0,0
"7.9","13.8","2.1","1.1","4.1","11.2",24,"45.5","2.55","0.2","1.4","6.4","21.9",7,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Yong","NA","NA","NA","2.55","53.4","1.1","0.2","21.9","1.4","4.7","Gun",0,0
9,"15.9","2.4","2.7","4.7","13.6","31.9",57,"4.54",0,0,"12.8",0,12,4,"Mar-Apr (Wet1)",2014,"Wet","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","4.54",66,"NA","NA",0,0,0,"Trap",0,0
8,15,"2.5","3.4","4.7","13.9","32.5","57.3","4.28",0,"3.7","13.1","28.2",12,4,"Mar-Apr (Wet1)",2014,"Wet","Pluv. baja alt 0-800",0,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","4.28","65.3","NA","NA","28.2","1.5","5.3","Trap",0,0
9,15,"2.1","2.6","4.6","12.6","30.3","51.9","2.89",0,0,"11.6",0,12,4,"Mar-Apr (Wet1)",2014,"Wet","Bosq. Araliáceas 1800-2500",0,1,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.89","60.9","NA","NA",0,0,0,"Trap",0,0
"8.5",15,"2.4","3.9","4.7","13.3",32,51,"3.3",8,0,"12.8",0,12,4,"Mar-Apr (Wet1)",2014,"Wet","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.3","59.5","3.5",8,0,0,0,"Trap",0,0
10,"14.7","1.9","3.8","5.1","13.9",34,60,"3.88",0,"15.7","10.4","20.2",16,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.88",70,"NA","NA",151,"2.2","12.3","Trap",0,0
"6.9",15,"2.5","3.9","5.8","13.2","29.5",53,"2.99","7.5","1.8","9.5","18.9",16,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","2.99","59.9","2.8","7.5","18.9","1.3","4.4","Trap",0,0
9,"15.3","2.5","2.7","4.3","13.3",32,55,"2.92",0,0,10,0,16,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","2.92",64,"NA","NA",0,0,0,"Trap",0,0
"7.8",15,"2.2","2.9","4.5","12.8","32.3",56,"3.24","7.6","1.1","12.4","8.9",18,4,"Mar-Apr (Wet1)",2014,"Wet","Pluv. baja alt 0-800",0,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.24","63.8","3.3","7.6","8.9",1,3,"Trap",0,0
8,15,3,"4.6","4.6",14,"32.6",60,"4.5","10.3","3.2","10.6","30.2",18,4,"Mar-Apr (Wet1)",2014,"Wet","Pluv. baja alt 0-800",0,0,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","4.5",68,"5.1","10.3","30.2","1.5","5.5","Trap",0,0
8,14,"2.4","4.3","4.7","12.3",31,52,"2.82","3.3","0.3","11.7",0,19,4,"Mar-Apr (Wet1)",2014,"Wet","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","2.82",60,"2.6","3.3","NA","NA","NA","Trap",0,0
"7.8","13.5","2.4","4.4","4.5","12.2",30,52,"2.52","1.7",0,"7.7",0,19,4,"Mar-Apr (Wet1)",2014,"Wet","Bosq. Araliáceas 1800-2500",0,1,"North","Macho","Adult/subadult","Preñada","Male (adult)","NA","2.52","59.8",2,"1.7","NA","NA","NA","Trap",0,0
8,"15.5","2.2","3.2","4.5","13.4",33,56,"3.55",0,"13.9","10.9","20.2",23,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.55",64,"NA","NA","127.5","2.1","11.3","Trap",0,0
"7.5","14.9","2.4","4.1","4.3",13,33,"54.4","3.81","7.4","3.2","11.3","28.3",23,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Adult/subadult","NA","Male (adult)","NA","3.81","61.9","2.8","7.4","28.3","1.5","5.3","Trap",0,0
6,14,"2.2","0.3","4.3","9.9",28,40,"1.9",0,"0.6","6.5","9.2",24,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Hembra","Yong","No preñada (lac o inact)","NA","NA","1.9",46,"NA","NA","9.2",1,3,"Gun",0,0
5,14,2,"1.2","4.2","10.5",28,46,"2.08","0.2","1.3","4.8","27.1",24,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Yong","NA","NA","NA","2.08",51,"0.9","0.2","27.1","1.4","5.2","Gun",0,0
"6.3","13.1",2,"0.6","3.8","10.6","25.5","41.2","1.66",0,"0.6","4.9","12.2",24,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Yong","No preñada (lac o inact)","NA","NA","1.66","47.5","0.7",0,"12.2","1.1","3.5","Gun",0,0
"5.9","13.3","1.9","0.6","4.4","10.7","24.8","45.1","1.84",0,"0.8","4.8","16.7",24,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Macho","Yong","No preñada (lac o inact)","NA","NA","1.84",51,"0.8",0,"16.7","1.2","4.1","Gun",0,0
6,"14.6","2.2","3.4","4.5","11.7","28.3","51.4","3.32",0,"3.8","4.1","92.7",24,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.32","57.4","NA","NA","92.7",2,"9.6","Gun",0,0
"7.5","15.4","2.1","3.4","4.8","12.6","32.2","52.4","3.9",0,0,"7.1",0,24,4,"Mar-Apr (Wet1)",2014,"Wet","Plv. Montaña 800-1800",1,0,"North","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.9","59.9","NA","NA",0,0,0,"Gun",0,0
8,15,"2.3","4.1","4.6",13,"31.9",53,"3.76","5.4","1.7","9.2","18.5",28,4,"Mar-Apr (Wet1)",2014,"Wet","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.76",61,"2.8","5.4","18.5","1.3","4.3","Trap",0,0
7,15,"2.1","4.6","4.3","13.3",29,54,"3.6","5.4",2,"9.6","20.8",28,4,"Mar-Apr (Wet1)",2014,"Wet","NA",99,99,"South","Macho","Adult/subadult","Preñada","Male (adult)","NA","3.6",61,"2.7","5.4","20.8","1.3","4.6","Gun",0,0
9,"15.4","2.1",3,"4.9","12.5",31,54,"3.37",0,"3.2","8.6","37.2",28,4,"Mar-Apr (Wet1)",2014,"Wet","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.37",63,"NA","NA","37.2","1.6","6.1","Trap",0,0
7,"14.4",2,"3.6","4.6",13,"30.3",50,"3.27",0,"0.9","6.7","13.4",28,4,"Mar-Apr (Wet1)",2014,"Wet","NA",99,99,"South","Hembra","Adult/subadult","No preñada (lac o inact)","inactive or pregnant (embryo)","Inactive / Embryo","3.27",57,"NA","NA","13.4","1.2","3.7","Trap",0,0
