"ENMO_mean_wb5","ENMO_sd_wb5","dur_wb5","cad_wb5","v1","v2","v3"
65.75,32.04,10.75,60.74,0,0.96093023255814,0.193610842207164
70.9,42.09,11.42,65.78,0,0.948336252189142,0.184672206832872
116.65,62.2,11.25,85.33,0,1,0.0888888888888889
94.87,33.48,15.5,86.26,0,0.881935483870968,0.146305779078274
109.77,62.88,17.17,70.43,0,0.786255096097845,0.222222222222222
123.89,73.29,94.67,79.4,0,0.735924791380585,0.0717669011052103
55.01,27.25,13,68,0,0.807692307692308,0.19047619047619
149.35,63.34,85.67,93.39,0,0.865763978055329,0.0674127005527841
107.86,43.64,14.17,85.62,0,0.882145377558222,0.16
74.63,43.53,18.17,65.61,0,0.756741882223445,0.218181818181818
68.8,38.29,17.67,74.77,0,0.943406904357668,0.11997600479904
82.89,50.57,20.83,73.78,0,0.936149783965435,0.102564102564103
161.56,101.85,10.33,91.55,0.00774443368828654,1,0.0968054211035818
92.07,49.63,14.5,74.21,0,0.850344827586207,0.24330900243309
94.9,35.04,13.33,90.22,0,0.924981245311328,0.16220600162206
101.26,43.48,13,87.85,0,0.974615384615385,0.15785319652723
121.99,92.59,10.5,85.24,0.00761904761904762,1,0.0952380952380952
62.79,37.1,18,62.78,0,0.898333333333333,0.123685837971552
146.68,59.22,81.5,96.07,0,0.882453987730061,0.0834260289210234
38.41,15.72,20.58,63.52,0,0.749271137026239,0.194552529182879
37.31,17.1,28.58,54.7,0,0.708537438768369,0.197530864197531
28.54,7.95,12.58,62.61,0,1,0.0794912559618442
29.18,13.6,27.25,52.65,0,0.791926605504587,0.185356811862836
41.84,20.6,14.42,68.64,0,1,0.0693481276005548
51.53,29.28,10.08,71.08,0,0.843253968253968,0.235294117647059
124.12,66.14,75.92,77.71,0,0.816649104320337,0.0967741935483871
50.25,17.46,10.75,85.67,0,1,0.0930232558139535
84.18,25.95,12.33,97.14,0,1,0.08110300081103
69.02,26.26,14.33,84.14,0,0.825540823447313,0.169061707523246
79.91,24.68,26.33,78.53,0,0.98101025446259,0.0774293457220287
73.27,27.85,19.5,75.08,0,1,0.0512820512820513
84.14,20.3,29.83,78.77,0,1,0.0335232986925914
68.32,29.71,22.33,66.9,0,0.948051948051948,0.0944733112895607
87.81,32.23,11.17,70.92,0,0.880035810205909,0.203458799593082
81.76,37.49,12,75.25,0,1,0.0833333333333333
67.1,23.64,56,69.55,0,0.894285714285714,0.0798722044728434
83.79,25.25,15.83,77.75,0,1,0.0631711939355654
68.8,37.3,117.33,60.97,0,0.775590215631126,0.0549450549450549
78.47,23.76,15.33,76.7,0,0.956947162426614,0.136332651670075
80.2,26.84,55.17,77.15,0,0.975711437375385,0.0557310050157905
95.38,38.33,46.33,79.81,0,0.96956615583855,0.0667853962600178
82.8,22,22.33,76.88,0,0.977608598298253,0.0916170407695831
72.82,29.68,17,71.94,0,0.970588235294118,0.121212121212121
57.3,37.07,17.5,56.69,0,0.809714285714286,0.141143260409315
67.79,34.37,34.33,64.98,0,0.791436061753568,0.147221199852779
67.1,20.14,18.33,72.6,0,1,0.0545553737043099
71.84,19.75,20.33,73.87,0,1,0.0491883915395967
79.21,19.67,40.5,80.2,0,0.985679012345679,0.0501002004008016
68.91,28.78,68.17,66.57,0,0.836144931788177,0.0526315789473684
70.95,33.77,14.33,69.49,0,0.837404047452896,0.166666666666667
66.05,31.62,17.42,66.32,0,0.856486796785304,0.201072386058981
72.11,32.2,70,65.59,0,0.817857142857143,0.122270742358079
66.05,23.62,19.67,73.47,0,1,0.0508388408744281
70.58,29.02,10.33,69.68,0,1,0.0968054211035818
68.93,17.31,73.08,74.34,0,0.972632731253421,0.0422059651097355
87.77,30.06,55.42,81.11,0,0.978888487910502,0.0552995391705069
57.69,26.45,10.08,59.5,0,0.875992063492063,0.226500566251416
68.84,29.16,48.92,69.18,0,0.836467702371218,0.0733137829912023
96.72,26.38,52.42,85.87,0,0.958603586417398,0.0597014925373134
84.22,33.51,51.08,73.78,0,0.856499608457322,0.0914285714285714
113.15,20.66,37.25,94.55,0,1,0.0268456375838926
81.18,22.97,13.58,84.37,0,1,0.0736377025036819
93.32,29.04,46.92,77.75,0,0.841858482523444,0.0506329113924051
78.12,28.35,76.75,75.66,0,0.814332247557003,0.064
105.95,29.5,47.58,88.41,0,0.966792770071459,0.0869565217391304
75.53,29.44,17.58,78.6,0,1,0.0568828213879408
84.75,30.54,10.25,79.02,0,0.926829268292683,0.210526315789474
101.16,36.58,65.08,82.4,0,0.893822987092809,0.0687639676809352
98.57,28.6,71.42,85.76,0,0.947493699243909,0.0591103886508054
112.64,31.02,40.25,89.37,0,0.977142857142857,0.0508517670989067
99.67,62.8,10.92,66.34,0.00732600732600733,0.885531135531135,0.206825232678387
99.87,62.19,30.25,72.97,0.00264462809917355,0.944793388429752,0.104968509447166
107.34,61.5,41.08,75.81,0.00194741966893866,0.951314508276534,0.0767656090071648
75.06,48.79,38.42,65.34,0.00208224882873503,0.917490890161374,0.0851063829787234
79.29,43.9,40.25,69.82,0,0.96695652173913,0.0770811921891058
73.85,43.39,31.25,70.02,0,0.98656,0.0648718780408693
76.57,39.75,28.75,71.42,0,0.985391304347826,0.0705965407695023
80.95,45.39,33.58,59.73,0,0.824002382370459,0.144560896277557
86.32,55.28,27.58,70.84,0.00290065264684554,0.897389412617839,0.121212121212121
105.97,47,12.42,63.64,0,0.805152979066023,0.2
63.26,37.95,32.08,56.03,0,0.784600997506234,0.158919348430671
71.12,43.6,32.58,66.48,0,0.953959484346225,0.128700128700129
94.88,42.02,35.25,77.77,0,0.957446808510638,0.0888888888888889
112.99,64.8,76.08,77.88,0,0.82807570977918,0.0634920634920635
88.91,48.26,31.17,70.2,0,0.978504972730189,0.0983606557377049
74.3,31,26.83,72.48,0,0.950428624673873,0.0784313725490196
107.08,55.08,11,73.18,0.00727272727272727,0.879090909090909,0.206825232678387
99.51,48.48,11.67,79.29,0,1,0.0856898029134533
